IdCliente,Fecha Nacimiento,Actividad Laboral,Estado Civil,Nivel Educacional,Tiene Mora,Saldo Medio Anual,Tiene Crédito Hipotecario,Tiene Crédito de Consumo,Medio de Contacto Preferente,Contactos con su Ejecutivo,Tiene Inversiones
1,2/17/1933,Jubilado,Divorciado,Universitario,No,2282000,No,No,Fono Particular,0,Si
2,2/17/1928,Jubilado,Casado,Enseñanza Media,No,0,No,No,Fono Particular,0,No
3,2/18/1930,Jubilado,Divorciado,Universitario,No,1234000,No,No,Celular,0,No
4,2/20/1931,Jubilado,Casado,Técnico Profesional,No,775000,No,No,Celular,7,Si
5,2/20/1931,Jubilado,Casado,Técnico Profesional,No,775000,No,No,Celular,9,Si
6,2/20/1932,Jubilado,Casado,Técnico Profesional,No,775000,No,No,Celular,0,Si
7,2/20/1932,Jubilado,Casado,Técnico Profesional,No,775000,No,No,Celular,3,Si
8,2/22/1934,Jubilado,Divorciado,Enseñanza Media,No,1000,No,No,Celular,0,No
9,2/22/1934,Jubilado,Divorciado,Universitario,No,712000,No,No,Fono Particular,0,Si
10,2/24/1938,Jubilado,Casado,Universitario,No,553000,No,No,Fono Particular,0,No
11,2/24/1934,Jubilado,Casado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
12,2/24/1934,Jubilado,Divorciado,Universitario,No,1323000,No,No,Fono Particular,1,No
13,2/24/1936,Jubilado,Casado,Universitario,No,433000,No,No,Fono Particular,1,No
14,2/24/1935,Jubilado,Casado,Universitario,No,648000,No,No,Fono Particular,0,No
15,2/25/1941,Jubilado,Divorciado,Universitario,No,6746000,No,No,Fono Particular,0,Si
16,2/25/1941,Jubilado,Casado,Universitario,No,230000,No,No,Celular,0,No
17,2/25/1937,Jubilado,Casado,Universitario,No,433000,No,No,Fono Particular,0,No
18,2/25/1939,Jubilado,Casado,Universitario,No,2190000,No,No,Fono Particular,0,Si
19,2/26/1944,Jubilado,Casado,Universitario,No,5236000,No,No,Fono Particular,0,Si
20,2/26/1945,Jubilado,Casado,Universitario,No,1817000,No,No,Celular,0,No
21,2/26/1937,Jubilado,Casado,Universitario,No,1503000,No,No,Fono Particular,1,No
22,2/26/1937,Jubilado,Casado,Enseñanza Básica,No,0,No,No,Celular,0,No
23,2/26/1939,Jubilado,Soltero,Universitario,No,614000,No,No,Fono Particular,0,Si
24,2/26/1937,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
25,2/26/1941,Jubilado,Divorciado,Técnico Profesional,No,157000,No,No,Fono Particular,0,No
26,2/26/1941,Jubilado,Casado,Universitario,No,1255000,No,No,Celular,4,No
27,2/26/1941,Jubilado,Casado,Universitario,No,1255000,No,No,Fono Particular,3,Si
28,2/28/1946,Jubilado,Casado,Enseñanza Básica,No,98000,No,No,Celular,0,No
29,2/28/1946,Jubilado,Casado,Técnico Profesional,No,1934000,No,No,Fono Particular,0,No
30,2/28/1942,Jubilado,Casado,Universitario,No,1255000,No,No,Celular,0,Si
31,2/28/1938,Jubilado,Casado,Universitario,No,12114000,No,No,Fono Particular,0,Si
32,2/28/1946,Jubilado,Divorciado,Universitario,No,7613000,No,No,Celular,0,Si
33,2/28/1945,Jubilado,Casado,Universitario,No,81204000,No,No,Fono Particular,3,Si
34,2/28/1939,Jubilado,Divorciado,Universitario,No,639000,No,No,Fono Particular,0,Si
