,Sexo,Edad,Casado,Numero Dependientes,Recomendaciones realizadas,Meses como Cliente,Plan,Cargo Mensual LLamadas,Multiples lineas,Servicio Internet,GB mensuales consumidos,Servicio Adicional Antivirus,Servicio Respaldo en la Nube,Seguro Proteccion Equipo,Servicio Soporte Premium,Usa Streaming TV,Usa Streaming Peliculas,Usa Streaming Musica,Plan Ilimitado Datos,Tipo Contrato,Cobro Mensual,Historico de Devoluciones ,Historico Cargos extra datos,Historico Cargos Llamadas,Historico Cobro Acumulado   ,Fugado,Causa Fuga
0,Mujer,37,Si,0,2,9,Ninguno,22042.8,No,Si,24,No,Si,No,Si,Si,No,No,Si,Anual,34112,0,0,198385.2,506901.2,No,
1,Hombre,46,No,0,0,9,Ninguno,5558.8,Si,Si,15,No,No,No,No,No,Si,Si,No,Mensual,-2080,19931.6,5200,50029.2,317345.6,No,
2,Hombre,50,No,0,0,4,Plan E,17498,No,Si,45,No,No,Si,No,No,No,No,Si,Mensual,38428,0,0,69992,216034,Si,Mejor la Competencia
3,Hombre,78,Si,0,1,13,Plan D,14466.4,No,Si,6,No,Si,Si,No,Si,Si,No,Si,Mensual,50960,0,0,188063.2,831745.2,Si,Disconforme
4,Mujer,75,Si,0,3,3,Ninguno,3837.6,No,Si,16.5,No,No,No,Si,Si,No,No,Si,Mensual,43628,0,0,11512.8,150560.8,Si,Disconforme
5,Mujer,23,No,3,0,9,Plan E,8720.4,No,Si,109.5,No,No,No,Si,Si,Si,Si,Si,Mensual,36088,0,0,78483.6,375637.6,No,
6,Mujer,67,Si,0,1,71,Plan A,5179.2,No,Si,21,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,57044,0,0,367723.2,4477933.2,No,
7,Hombre,52,Si,0,8,63,Plan B,6739.2,Si,Si,10.5,Si,No,No,Si,No,No,No,No,Otro mas largo,44018,0,10400,424569.6,3231425.6,No,
8,Mujer,68,No,0,0,7,Plan E,5475.6,No,Si,31.5,Si,No,No,No,No,No,No,Si,Otro mas largo,25064,0,0,38329.2,215311.2,No,
9,Mujer,43,Si,1,3,65,Ninguno,14799.2,Si,Si,21,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,47034,0,0,961948,4060056,No,
10,Hombre,47,No,0,0,54,Ninguno,,,Si,15,Si,No,No,Si,Si,No,No,Si,Otro mas largo,23504,0,0,0,1279486,No,
11,Mujer,25,Si,2,2,72,Ninguno,8325.2,Si,Si,88.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,60736,0,0,599414.4,4996924.4,No,
12,Mujer,58,Si,0,0,5,Ninguno,9698,No,Si,15,No,No,No,No,No,No,No,Si,Mensual,35854,0,0,48490,231270,No,
13,Mujer,32,No,0,0,72,Plan A,1170,Si,Si,24,Si,Si,Si,No,Si,No,No,Si,Otro mas largo,52676,0,0,84240,3860090,No,
14,Mujer,39,No,0,0,56,Ninguno,,,Si,28.5,Si,Si,Si,Si,No,No,No,Si,Otro mas largo,23426,0,0,0,1331252,No,
15,Mujer,58,Si,2,9,71,Plan A,14175.2,Si,Si,18,No,Si,Si,No,No,Si,Si,Si,Otro mas largo,49790,0,0,1006439.2,4568127.2,No,
16,Mujer,52,Si,1,0,34,Ninguno,,,Si,30,Si,No,Si,Si,Si,Si,Si,Si,Anual,31850,0,0,0,1036464,No,
18,Hombre,79,No,0,0,45,Ninguno,5548.4,No,Si,25.5,Si,No,Si,No,No,Si,No,Si,Anual,32604,0,0,249678,1701258,Si,Disconforme
19,Hombre,67,No,0,0,1,Ninguno,,,Si,13.5,No,No,No,No,No,No,No,Si,Mensual,13052,0,0,0,13052,Si,Mejor la Competencia
20,Mujer,79,Si,0,0,50,Ninguno,16343.6,Si,No,,,,,,,,,,Anual,13104,0,0,817180,1496456,No,
21,Mujer,26,Si,0,1,13,Ninguno,22651.2,Si,Si,78,No,Si,Si,No,Si,No,No,Si,Mensual,48932,0,0,294465.6,926577.6,Si,Otra
22,Mujer,30,Si,2,1,23,Plan D,18153.2,Si,Si,45,No,No,No,No,Si,No,No,Si,Mensual,43550,0,0,417523.6,1379497.6,No,
24,Mujer,34,Si,0,0,4,Plan E,6463.6,No,No,,,,,,,,,,Mensual,10582,0,0,25854.4,65556.4,Si,Por Precio
25,Mujer,37,Si,1,1,1,Ninguno,,,Si,28.5,Si,No,No,No,No,No,No,Si,Mensual,15860,0,0,0,15860,Si,Servicio Cliente
26,Mujer,37,Si,3,10,55,Ninguno,18220.8,No,Si,85.5,No,Si,Si,Si,Si,Si,Si,No,Anual,53924,0,10400,1002144,3954054,No,
27,Hombre,42,Si,3,3,54,Ninguno,10244,No,No,,,,,,,,,,Otro mas largo,10608,0,0,553176,1120288,No,
28,Hombre,64,No,0,0,26,Plan C,19604,No,No,,,,,,,,,,Anual,10192,11050,0,509704,744016,No,
29,Mujer,47,Si,3,5,69,Ninguno,19962.8,No,No,,,,,,,,,,Otro mas largo,10244,0,0,1377433.2,2103821.2,No,
30,Hombre,23,Si,3,1,37,Plan C,22365.2,No,Si,76.5,No,No,No,No,Si,Si,Si,Si,Anual,47424,0,0,827512.4,2516238.4,No,
31,Mujer,48,Si,0,5,49,Plan B,25781.6,No,No,,,,,,,,,,Anual,10634,0,0,1263298.4,1731766.4,No,
32,Hombre,28,Si,0,9,66,Ninguno,22760.4,Si,Si,61.5,Si,Si,Si,Si,Si,Si,Si,Si,Anual,-1040,0,0,1502186.4,5632104.4,No,
33,Mujer,28,No,0,0,67,Ninguno,12022.4,No,No,,,,,,,,,,Anual,10686,15875.6,0,805500.8,1488193.2,No,
34,Hombre,33,Si,1,4,20,Ninguno,,,Si,33,Si,No,Si,Si,No,No,No,Si,Otro mas largo,20488,0,0,0,429208,No,
35,Mujer,31,No,3,0,43,Ninguno,15932.8,Si,No,,,,,,,,,,Otro mas largo,13052,0,0,685110.4,1241588.4,No,
36,Mujer,37,Si,0,2,55,Plan B,2641.6,Si,Si,13.5,Si,No,No,No,Si,No,No,Si,Mensual,46696,0,0,145288,2724280,No,
37,Mujer,60,Si,0,4,59,Plan B,8522.8,Si,Si,21,Si,Si,No,No,Si,No,No,Si,Mensual,49270,0,0,502845.2,3413623.2,No,
38,Mujer,48,Si,3,3,12,Ninguno,10025.6,No,No,,,,,,,,,,Otro mas largo,10556,0,0,120307.2,237047.2,No,
39,Hombre,60,Si,3,7,27,Plan C,13135.2,Si,Si,34.5,No,No,No,No,No,No,No,Si,Mensual,39390,0,0,354650.4,1357730.4,No,
40,Hombre,69,No,0,0,2,Ninguno,22874.8,No,Si,40.5,Si,No,No,No,No,No,No,Si,Mensual,25610,0,0,45749.6,93121.6,Si,Mejor la Competencia
41,Mujer,20,No,0,0,27,Plan C,25433.2,No,Si,88.5,No,Si,Si,Si,Si,Si,Si,Si,Anual,40664,0,0,686696.4,1767750.4,No,
42,Hombre,31,Si,3,1,25,Ninguno,12318.8,Si,No,,,,,,,,,,Otro mas largo,13260,23098.4,0,307970,612783.6,No,
43,Hombre,46,Si,0,5,25,Ninguno,3354,No,Si,28.5,Si,Si,Si,No,No,No,No,Si,Anual,32032,23348,0,83850,898222,No,
44,Hombre,57,No,1,0,29,Ninguno,,,Si,31.5,Si,Si,Si,Si,No,No,No,Si,Mensual,23400,6375.2,0,0,639698.8,No,
45,Hombre,19,Si,0,5,72,Ninguno,16827.2,Si,Si,78,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,44278,0,0,1211558.4,4495982.4,No,
46,Mujer,64,No,0,0,14,Ninguno,12500.8,No,Si,18,No,Si,No,No,No,No,No,Si,Anual,26754,0,0,175011.2,553493.2,No,
47,Mujer,38,No,0,0,35,Plan C,18938.4,No,Si,3,No,No,Si,Si,Si,Si,Si,Si,Anual,51610,0,0,662844,2499484,No,
49,Hombre,50,No,0,0,29,Ninguno,1066,No,Si,25.5,No,No,No,Si,Si,Si,Si,No,Mensual,48984,0,10400,30914,1397266,No,
50,Hombre,25,No,0,0,64,Ninguno,2854.8,Si,Si,103.5,Si,Si,Si,Si,Si,No,No,No,Anual,42250,0,20800,182707.2,3098633.2,No,
51,Mujer,35,Si,3,1,39,Ninguno,12677.6,Si,Si,79.5,No,No,No,Si,Si,Si,Si,Si,Mensual,51974,0,0,494426.4,2453474.4,No,
52,Mujer,72,No,0,0,40,Ninguno,22952.8,No,Si,34.5,No,No,No,No,Si,Si,No,Si,Otro mas largo,47606,0,0,918112,2828384,No,
53,Hombre,51,No,0,0,40,Ninguno,19598.8,Si,Si,22.5,No,Si,Si,No,Si,Si,Si,Si,Mensual,54340,0,0,783952,2883114,Si,Mejor la Competencia
54,Mujer,78,No,1,0,11,Plan D,6026.8,No,Si,43.5,No,Si,No,No,Si,Si,No,No,Mensual,49400,0,62400,66294.8,711250.8,Si,Disconforme
55,Mujer,30,Si,0,10,6,Plan E,22183.2,Si,Si,127.5,No,No,No,No,No,No,No,Si,Mensual,26182,0,0,133099.2,296665.2,No,
56,Hombre,58,No,0,0,30,Ninguno,1372.8,Si,Si,22.5,Si,No,No,No,No,Si,Si,Si,Mensual,33540,0,0,41184,1023178,No,
57,Hombre,26,No,0,0,27,Ninguno,10743.2,No,No,,,,,,,,,,Mensual,10088,0,0,290066.4,565562.4,No,
58,Hombre,66,Si,0,3,70,Ninguno,20534.8,Si,Si,42,No,Si,Si,No,Si,Si,No,Si,Anual,54496,3177.2,0,1437436,5234912.8,No,
59,Mujer,20,Si,0,10,57,Plan B,4165.2,Si,Si,109.5,No,Si,Si,Si,Si,Si,Si,Si,Anual,56888,0,0,237416.4,3488820.4,No,
60,Hombre,61,Si,0,10,58,Ninguno,9552.4,No,Si,27,No,No,Si,No,No,No,No,Si,Anual,26156,5319.6,0,554039.2,2045565.6,No,
61,Hombre,24,No,0,0,16,Ninguno,13369.2,Si,Si,72,No,Si,Si,No,No,Si,Si,Si,Mensual,37128,0,0,213907.2,844199.2,No,
62,Mujer,55,Si,0,3,69,Plan A,20030.4,Si,Si,40.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,60320,0,0,1382097.6,5637179.6,No,
63,Hombre,32,No,0,0,1,Plan E,16520.4,No,No,,,,,,,,,,Mensual,10322,0,0,16520.4,26842.4,Si,Servicio Cliente
64,Hombre,59,No,0,0,1,Ninguno,21169.2,Si,Si,37.5,No,No,Si,No,Si,Si,Si,Si,Mensual,51870,0,0,21169.2,73039.2,Si,Mejor la Competencia
65,Hombre,71,Si,1,9,32,Plan C,16567.2,No,Si,34.5,No,Si,No,No,Si,Si,Si,Si,Anual,48854,0,0,530150.4,2018104.4,No,
66,Hombre,49,Si,2,8,16,Plan D,25329.2,Si,Si,18,No,No,Si,No,Si,No,No,Si,Mensual,47216,0,0,405267.2,1155211.2,No,
67,Hombre,61,Si,0,1,49,Plan B,20566,Si,Si,15,Si,No,Si,Si,Si,Si,Si,Si,Anual,43862,0,0,1007734,3118596,Si,Mejor la Competencia
68,Mujer,40,Si,0,2,71,Plan A,,,Si,43.5,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,30290,0,0,0,2155868,No,
69,Mujer,39,No,0,0,33,Ninguno,25838.8,Si,Si,18,No,Si,Si,No,Si,Si,Si,Si,Mensual,55926,0,0,852680.4,2748340.4,No,
70,Mujer,21,Si,0,9,10,Plan D,25792,No,No,,,,,,,,,,Mensual,10374,0,0,257920,355550,No,
71,Hombre,24,Si,0,1,21,Ninguno,18855.2,Si,Si,88.5,No,Si,Si,Si,Si,Si,Si,No,Mensual,57824,0,62400,395959.2,1663251.2,Si,Servicio Cliente
72,Hombre,52,Si,1,1,37,Ninguno,,,Si,34.5,Si,Si,Si,No,No,No,No,Si,Mensual,20904,0,0,0,753376,Si,Mejor la Competencia
73,Mujer,71,No,0,0,26,Ninguno,17544.8,No,Si,10.5,Si,No,No,No,Si,No,No,Si,Mensual,44616,0,0,456164.8,1596862.8,No,
74,Hombre,45,No,0,0,50,Plan B,,,Si,10.5,Si,No,No,Si,No,No,No,Si,Anual,18408,0,0,0,909428,No,
75,Mujer,29,No,0,0,7,Ninguno,14882.4,Si,Si,39,No,No,No,No,No,No,Si,Si,Mensual,38402,6775.6,0,104176.8,363251.2,Si,Mejor la Competencia
76,Mujer,62,Si,0,1,61,Plan B,24538.8,Si,Si,42,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,45812,0,0,1496866.8,4370776.8,No,
77,Hombre,42,No,0,0,15,Plan D,23878.4,No,Si,18,No,No,Si,Si,Si,Si,Si,Si,Mensual,52702,0,0,358176,1166230,Si,Servicio Cliente
78,Mujer,51,No,2,0,26,Ninguno,,,Si,28.5,Si,No,No,Si,No,Si,Si,Si,Mensual,23816,0,0,0,596440,No,
79,Hombre,39,Si,0,9,72,Ninguno,17274.4,No,Si,34.5,No,No,Si,No,Si,Si,Si,Si,Mensual,49218,0,0,1243756.8,4752378.8,No,
80,Hombre,64,Si,0,1,44,Ninguno,14248,No,No,,,,,,,,,,Anual,10660,0,0,626912,1076738,No,
81,Hombre,55,No,0,0,66,Plan A,25365.6,Si,Si,12,No,Si,No,No,No,Si,Si,No,Mensual,46488,18730.4,20800,1674129.6,4784187.2,No,
82,Mujer,40,No,0,0,2,Ninguno,19141.2,No,Si,24,Si,Si,No,Si,No,No,No,Si,Mensual,44850,0,0,38282.4,132740.4,Si,Mejor la Competencia
83,Mujer,76,No,0,0,44,Ninguno,4014.4,No,Si,25.5,No,No,Si,Si,Si,Si,Si,Si,Anual,38922,9313.2,0,176633.6,1866706.4,No,
84,Mujer,57,No,0,0,12,Plan D,7477.6,Si,Si,9,No,Si,No,No,Si,No,No,Si,Mensual,46670,0,0,89731.2,636979.2,Si,Servicio Cliente
85,Hombre,71,Si,0,1,69,Ninguno,9573.2,Si,Si,25.5,No,Si,Si,Si,Si,Si,No,Si,Otro mas largo,57174,0,0,660550.8,4630360.8,No,
86,Mujer,25,No,0,0,1,Plan E,639.6,Si,Si,103.5,No,Si,No,No,No,No,No,Si,Mensual,41704,0,0,639.6,42343.6,Si,Por Precio
87,Mujer,24,No,0,0,3,Plan E,13390,No,No,,,,,,,,,,Mensual,10322,0,0,40170,73320,Si,Por Precio
89,Mujer,77,No,0,0,27,Ninguno,1544.4,Si,Si,6,No,Si,Si,No,No,No,No,Si,Otro mas largo,44954,0,0,41698.8,1290244.8,No,
90,Hombre,57,No,0,0,26,Plan C,6936.8,No,No,,,,,,,,,,Mensual,10556,0,0,180356.8,446206.8,No,
91,Mujer,73,Si,0,9,39,Ninguno,10478,Si,Si,31.5,No,No,No,Si,Si,Si,Si,Si,Mensual,52650,0,0,408642,2462200,No,
92,Hombre,41,No,0,0,25,Ninguno,18137.6,Si,Si,12,No,No,No,No,Si,Si,Si,Si,Mensual,49244,0,0,453440,1681732,Si,Mejor la Competencia
93,Mujer,43,No,0,0,1,Plan E,20701.2,No,Si,34.5,No,No,No,No,No,No,No,Si,Mensual,36868,0,0,20701.2,57569.2,Si,Mejor la Competencia
94,Hombre,48,Si,0,1,22,Plan D,14164.8,No,Si,31.5,Si,No,No,Si,No,No,No,Si,Mensual,28184,0,0,311625.6,911029.6,Si,Servicio Cliente
95,Mujer,56,No,0,0,72,Plan A,25152.4,Si,Si,7.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,59748,0,0,1810972.8,6229256.8,No,
96,Mujer,51,No,0,0,24,Ninguno,5532.8,No,No,,,,,,,,,,Otro mas largo,10166,0,0,132787.2,377291.2,No,
97,Mujer,34,Si,0,8,19,Ninguno,4076.8,Si,Si,24,No,No,No,No,Si,No,No,Si,Mensual,45162,0,0,77459.2,890947.2,No,
98,Hombre,21,Si,2,2,71,Ninguno,4784,Si,No,,,,,,,,,,Otro mas largo,13182,0,0,339664,1300390,No,
99,Hombre,78,Si,0,7,33,Ninguno,13078,Si,Si,30,Si,No,Si,Si,Si,Si,No,Si,Anual,57148,0,0,431574,2352818,No,
101,Hombre,54,Si,1,7,47,Ninguno,566.8,Si,Si,19.5,No,Si,No,No,Si,No,No,Si,Mensual,45344,0,0,26639.6,2115713.6,No,
102,Hombre,42,Si,3,2,62,Ninguno,915.2,No,Si,30,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,56238,0,0,56742.4,3606080.4,No,
103,Hombre,22,No,0,0,71,Ninguno,1497.6,Si,Si,72,Si,Si,Si,Si,Si,Si,Si,Si,Anual,60476,0,0,106329.6,4427295.6,No,
104,Hombre,71,Si,0,8,7,Ninguno,21824.4,No,Si,16.5,No,No,No,No,Si,Si,Si,Si,Otro mas largo,46280,0,0,152770.8,467604.8,No,
105,Mujer,56,Si,2,6,27,Plan C,24263.2,No,Si,42,Si,No,No,No,No,No,No,Si,Mensual,38688,0,0,655106.4,1680728.4,No,
107,Mujer,32,No,3,0,25,Plan C,,,Si,112.5,Si,No,No,Si,No,No,No,Si,Otro mas largo,18226,0,0,0,439114,No,
108,Hombre,80,No,0,0,30,Ninguno,20077.2,No,Si,7.5,Si,Si,No,No,Si,Si,No,Si,Anual,38870,0,0,602316,1700192,No,
109,Mujer,73,Si,0,1,58,Ninguno,8808.8,No,Si,28.5,Si,Si,No,Si,Si,Si,Si,Si,Anual,54860,0,0,510910.4,3737770.4,Si,Servicio Cliente
110,Hombre,26,Si,0,1,10,Plan D,1050.4,Si,Si,123,No,No,No,No,No,Si,Si,No,Mensual,44330,0,52000,10504,507260,Si,Mejor la Competencia
111,Mujer,59,No,0,0,9,Ninguno,4820.4,Si,Si,42,No,No,No,No,No,No,No,Si,Mensual,39104,0,0,43383.6,372985.6,No,
112,Mujer,78,Si,0,1,6,Ninguno,14929.2,Si,Si,25.5,No,No,No,No,No,Si,No,Si,Mensual,43862,0,0,89575.2,336523.2,Si,Otra
113,Mujer,47,Si,1,7,69,Ninguno,20238.4,Si,Si,24,Si,No,Si,No,No,No,No,No,Anual,43914,0,20800,1396449.6,4458521.6,No,
114,Mujer,68,No,0,0,66,Ninguno,5434,Si,Si,30,Si,No,No,No,Si,Si,Si,Si,Otro mas largo,53248,0,0,358644,3724006,No,
115,Mujer,30,No,0,0,70,Plan A,5309.2,Si,Si,78,Si,Si,Si,Si,Si,Si,Si,Si,Anual,60086,0,0,371644,4597996,Si,Disconforme
116,Hombre,62,No,0,0,25,Plan C,2896.4,Si,No,,,,,,,,,,Anual,13156,0,0,72410,424112,Si,Por Precio
117,Mujer,52,Si,2,1,46,Plan B,12651.6,No,No,,,,,,,,,,Otro mas largo,10010,0,0,581973.6,1031357.6,No,
118,Mujer,63,Si,0,7,54,Plan B,5928,Si,Si,39,Si,Si,Si,Si,Si,Si,Si,Si,Anual,59618,0,0,320112,3465852,No,
119,Mujer,54,No,0,0,15,Ninguno,11642.8,No,Si,10.5,Si,No,Si,Si,Si,Si,Si,Si,Mensual,54652,0,0,174642,997672,Si,Mejor la Competencia
120,Mujer,48,Si,1,0,12,Plan D,4290,No,No,,,,,,,,,,Mensual,10088,0,0,51480,154492,No,
121,Mujer,51,No,0,0,22,Ninguno,,,Si,33,No,Si,No,No,Si,Si,Si,Si,Mensual,26182,0,0,0,571402,No,
122,Mujer,22,Si,0,9,70,Ninguno,,,Si,127.5,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,30056,525.2,0,0,2099910.8,No,
123,Hombre,52,No,0,0,30,Plan C,12859.6,No,Si,30,Si,Si,Si,No,No,No,No,No,Mensual,43836,0,67600,385788,1721460,No,
124,Hombre,22,Si,1,1,71,Plan A,14736.8,Si,Si,88.5,No,Si,No,No,Si,Si,Si,Si,Anual,52286,8834.8,0,1046312.8,4736628,No,
125,Hombre,33,Si,0,2,30,Ninguno,5101.2,No,No,,,,,,,,,,Anual,10296,0,0,153036,452894,No,
126,Hombre,26,Si,0,5,4,Plan E,14960.4,Si,Si,28.5,No,Si,Si,No,No,No,Si,Si,Mensual,44096,0,0,59841.6,253229.6,Si,Mejor la Competencia
127,Hombre,58,No,0,0,2,Plan E,7352.8,No,Si,42,No,No,Si,No,No,Si,Si,Si,Mensual,44642,0,0,14705.6,101701.6,Si,Mejor la Competencia
128,Hombre,22,No,1,0,10,Ninguno,4087.2,No,No,,,,,,,,,,Anual,10374,0,0,40872,155012,No,
